area_code,area_name,tier,Cases rate,Cases growth rate,Cases among those aged 60+,Covid-19 hospital bed occupancy,24H Covid-19 hospital admissions,Positivity rate
E06000037,West Berkshire,Tier 2,88.987,0.695,72.100,13.722,1.339,5.401
E07000086,Eastleigh,Tier 2,88.334,0.702,41.100,13.686,1.441,4.033
E07000144,Broadland,Tier 2,87.167,0.591,63.900,8.993,1.326,4.676
E07000226,Crawley,Tier 2,86.292,0.545,42.800,11.411,1.376,5.167
E07000093,Test Valley,Tier 2,85.606,0.755,39.800,15.357,1.437,4.045
E07000009,East Cambridgeshire,Tier 2,84.595,1.267,42.500,8.138,0.796,3.423
E06000056,Central Bedfordshire,Tier 2,84.532,0.629,58.700,14.646,1.556,4.848
E07000047,West Devon,Tier 2,84.235,0.922,30.200,18.056,2.086,2.811
E07000246,Somerset West and Taunton,Tier 2,81.875,0.794,25.700,11.991,1.568,3.279
E06000043,Brighton and Hove,Tier 2,81.132,0.500,70.200,10.904,0.704,5.150
E07000181,West Oxfordshire,Tier 2,78.631,0.649,48.600,6.409,0.979,3.773
E07000091,New Forest,Tier 2,77.741,0.500,53.600,6.277,0.975,3.881
E07000143,Breckland,Tier 2,77.160,0.590,52.100,10.149,1.175,3.405
E07000089,Hart,Tier 2,76.231,0.763,52.900,12.095,1.481,5.026
E07000223,Adur,Tier 2,76.204,0.803,31.700,6.813,0.607,4.037
E07000180,Vale of White Horse,Tier 2,73.526,0.518,31.200,6.739,1.011,4.947
E07000046,Torridge,Tier 2,71.777,0.742,41.100,16.812,2.089,2.848
E07000244,East Suffolk,Tier 2,70.953,0.831,67.700,14.827,1.904,3.387
E06000059,Dorset,Tier 2,69.483,0.623,53.700,3.686,0.376,3.914
E07000012,South Cambridgeshire,Tier 2,68.516,0.606,44.800,6.948,0.729,3.753
E07000229,Worthing,Tier 2,67.830,0.852,38.100,6.322,0.596,3.020
E06000036,Bracknell Forest,Tier 2,67.728,0.500,52.800,10.682,1.434,5.423
E07000071,Colchester,Tier 2,67.281,0.720,46.500,14.138,1.507,4.107
E07000074,Maldon,Tier 2,66.229,0.662,52.000,3.378,0.358,3.775
E07000011,Huntingdonshire,Tier 2,64.620,0.545,23.600,12.221,1.334,3.998
E07000079,Cotswold,Tier 2,64.543,0.500,30.500,19.391,1.875,5.340
E07000245,West Suffolk,Tier 2,64.230,0.991,29.200,8.222,0.675,2.931
E07000076,Tendring,Tier 2,63.455,1.011,46.300,14.446,1.540,3.154
E07000045,Teignbridge,Tier 2,60.374,0.771,53.100,17.445,2.083,2.490
E07000203,Mid Suffolk,Tier 2,58.713,0.968,67.500,11.551,1.151,3.088
E07000044,South Hams,Tier 2,56.319,0.521,22.300,13.379,1.144,3.768
E06000046,Isle of Wight,Tier 1,59.956,0.759,35.600,8.290,0.865,2.793
E06000052,Cornwall and Isles of Scilly,Tier 1,59.342,0.654,26.800,4.899,0.544,2.927
